system,distribution,batchsize,hit_chance,period,utilization,p99,p99_lower,p99_upper
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.51,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.52,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.53,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.54,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.55,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.56,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.57,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.58,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.59,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.6,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.61,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.62,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.63,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.64,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.65,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.66,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.67,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.68,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.69,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.7,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.71,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.72,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.73,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.74,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.75,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.76,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.77,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.78,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.79,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.8,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.81,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.82,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.83,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.84,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.85,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.86,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.87,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.88,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.89,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.9,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.91,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.92,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.93,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.94,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.95,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.96,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.97,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.98,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,0.99,0.6376701143228518,0.6376701143228518,0.6376701143228518
F1T,picojpeg-emnist.json,30000,1.0,0.0545,1.0,0.6376701143228518,0.6376701143228518,0.6376701143228518
